conserved	specific	contigs	genome_size
public_240827	2210	10	485	5298453
public_240928	2327	10	91	5469015
public_241069	2391	10	46	4749648
public_241198	2393	10	47	5393275
public_241266	2411	10	62	4764127
public_241275	2347	9	52	5405710
public_241392	2391	10	51	5560162
public_241456	2381	10	3	5119992
public_24148	2389	10	81	4631038
public_241729	2350	9	134	5177843
public_241907	2217	10	71	5344177
public_241951	2380	10	241	4963110
public_242005	2351	8	3	5497653
public_242234	2186	10	555	5255903
public_242485	2407	10	89	5018539
public_242652	2189	10	32	5148027
public_242924	2217	10	96	5437121
public_243002	2333	10	62	5223374
public_243067	2409	10	259	5442563
public_243246	2389	10	63	5341881
public_24367	2371	10	47	5169863
public_243781	2412	10	58	5250007
public_243905	2377	9	231	5019906
public_244208	2213	10	135	4980585
public_244237	2382	10	90	5251287
public_244381	2215	10	230	5253766
public_244577	2208	10	87	4918295
public_244651	2208	10	109	5440914
public_244747	2379	10	234	5639302
public_244937	2213	10	109	5256230
public_244956	2211	10	193	5285962
public_244977	2332	9	152	5089359
public_245100	2256	8	7	5249288
public_245408	2386	10	44	5229122
public_245517	2224	10	135	4993644
public_245593	2394	9	136	5446986
public_245632	2403	10	31	5023293
public_245767	2385	10	373	5284807
public_245771	2413	10	3	5704171
public_245891	2405	10	37	5029131
public_245941	2208	10	122	5544190
public_246004	2379	10	139	4851907
public_24602	1331	1	226	5200324
public_246162	2391	10	108	5194079
public_246322	2408	10	2	4656144
public_246488	2210	10	141	5018209
public_246624	2389	10	107	4861475
public_246640	2195	9	500	5371079
public_246781	2210	10	1	4646332
public_246829	2211	10	30	4796830
public_246972	2212	10	116	5375246
public_247020	2406	10	68	4972327
public_247158	2211	10	132	5116079
public_247195	2216	10	161	5298041
public_247220	2390	10	314	5623195
public_247764	2222	10	263	5360687
public_247799	2383	10	2641	5426565
public_248374	2327	10	162	5146593
public_248634	2250	10	38	5230959
public_249421	2325	10	245	5098228
public_249657	2043	6	74	5262779
public_249993	2380	8	47	5677722
public_250171	2384	10	380	5183862
public_250739	2222	10	14	5388459
public_250833	2407	10	178	5344052
public_250936	2391	10	127	5171053
public_251132	2397	10	27	5174961
public_251429	2388	9	262	5426568
public_251609	2336	9	48	5366331
public_251815	2367	10	139	5267973
public_2519	2404	10	180	5277070
public_252015	2243	8	130	4945712
public_253305	2395	10	360	4849067
public_253365	2343	10	49	5049673
public_253585	2332	9	364	6199307
public_253634	2187	10	169	5220782
public_253666	2391	10	233	5009798
public_253968	2333	10	615	5471544
public_253986	2393	10	36	4862729
public_254138	2185	10	63	5341964
public_254167	2199	10	15	5496130
public_254217	2158	9	190	5313397
public_254291	2393	10	31	4998133
public_254401	2279	10	114	5093196
public_254850	2353	8	64	5740657
public_255023	2392	10	139	5073631
public_255219	2173	9	84	4869008
public_255456	2339	10	44	5300441
public_255484	2207	10	270	5434716
public_255527	2200	9	785	5214638
public_255835	2086	10	168	5299384
public_256245	2388	10	42	4680375
public_256733	2314	10	504	5470040
public_256843	2379	10	143	5019920
public_257082	2334	10	239	4989679
public_257270	2388	10	385	5045737
public_257328	2316	10	61	5502782
public_257467	2382	10	4	5438174
public_257600	2397	10	1	4578159
public_257790	2383	10	30	5125873
public_257922	2366	10	153	4841865
public_258052	2407	10	484	4840256
public_258142	2386	10	44	5368185
public_258686	2202	8	12	5218799
public_258742	2331	10	153	5614559
public_258833	2202	8	464	5196275
public_258868	2393	10	1	4621430
public_259161	2398	10	61	5460414
public_259202	2220	10	33	5181149
public_259205	2384	10	238	5647831
public_259674	2201	10	86	5138246
public_259763	2329	9	4	5434611
public_259929	2219	10	33	5001996
public_259972	2225	9	546	4979213
public_260058	2401	10	204	5297549
public_260347	2208	10	60	5534252
public_260418	2404	10	533	5524829
public_260572	2217	9	126	4820619
public_260628	2369	9	125	5388860
public_261176	2410	10	26	4975730
public_261361	2362	10	221	5228083
public_261561	1661	7	69	5313768
public_264487	2180	10	243	5389413
public_264734	2391	10	102	4976991
public_264857	2336	10	26	4875319
public_264911	2395	10	2	5524860
public_265107	2343	10	45	5094716
public_265177	2216	10	106	5362824
public_265336	2406	10	56	5039964
public_265468	2327	10	78	5578446
public_265544	2211	10	44	5369475
public_265687	2337	8	99	5342338
public_266022	2401	10	196	5200020
public_266165	2322	10	57	5165757
public_266719	2384	10	36	5050517
public_266813	2377	10	66	4983540
public_267063	2393	10	149	5018165
public_267227	2199	9	143	5198053
public_267332	2202	10	505	5501003
public_267532	2345	9	29	4600056
public_267642	2210	10	99	4985430
public_267676	2388	9	82	4945389
public_267857	2409	10	161	4862082
public_267881	2404	10	55	4865745
public_267991	2392	10	237	5217758
public_268043	2221	10	43	5238537
public_268082	2204	10	461	5405644
public_268131	2351	9	49	5680760
public_268359	2392	10	305	5294605
public_268561	2199	9	155	5187011
public_268710	2403	10	93	5249372
public_268874	2334	10	116	4983084
public_268933	2359	8	18	5347131
public_269138	2382	10	473	5492997
public_269323	2410	10	144	5076390
public_269362	2391	10	203	5098119
public_269652	2206	10	68	5179956
public_269685	2229	10	4	5617728
public_269719	2201	10	153	5305843
public_269756	2392	10	565	5082960
public_269832	2221	10	68	5330508
public_269872	2387	10	83	5308561
public_270331	2247	9	27	5184094
public_270643	2397	10	238	5300309
public_270833	2381	10	40	5199908
public_270990	2203	10	11	5111617
public_271042	2223	10	203	5328850
public_271110	2383	10	177	5290836
public_271557	2322	9	149	5291786
public_271886	2406	10	199	5147050
public_272050	2209	10	13	5014260
public_272116	2406	10	157	4842831
public_272351	2402	10	182	5262590
public_272498	2359	10	191	5103280
public_272568	2382	9	42	4650823
public_272722	2380	10	155	5258795
public_272918	2327	10	678	5262452
public_272954	2398	10	33	5217681
public_273007	2345	10	207	5254495
public_273282	2391	10	1	4700560
public_273463	2224	10	99	4967959
public_273506	2369	10	213	5272803
public_273727	2380	9	46	5240071
public_273893	2203	9	139	5329443
public_274434	2380	10	3	4904536
public_274571	2393	10	285	5166851
public_274857	2037	10	285	5454089
public_27543	2212	10	46	5427177
public_27563	2199	10	255	4440760
public_276442	2343	10	39	5721213
public_276649	2403	10	6	5308284
public_276703	2359	10	89	4948299
public_276840	2398	10	221	5438817
public_276902	2300	7	174	5089910
public_277245	2403	10	531	5492818
public_277385	2383	9	48	5337054
public_277479	2181	9	46	5179983
public_277509	2372	8	1	4641652
public_277692	2403	10	112	5260709
public_277832	2365	10	785	5446996
public_278030	2365	9	128	5241649
public_27810	2330	8	48	5282208
public_278299	2394	10	407	4792825
public_278442	2380	10	29	5207445
public_278465	2356	8	51	5292353
public_278657	2378	10	54	5134451
public_27868	2342	10	301	5033472
public_278723	2209	10	198	5307394
public_278864	2393	10	310	4384173
public_279278	2335	7	629	5519540
public_279489	1988	8	282	5124204
public_280664	2364	10	99	5000759
public_28078	2386	10	55	5214194
public_280865	2330	7	209	4969790
public_281119	2358	9	199	5135736
public_281815	2398	10	34	5034020
public_282003	2381	10	570	5354371
public_282172	2392	10	115	4641553
public_282177	2322	10	184	5657396
public_282229	2347	4	92	4867765
public_28228	2207	10	174	5347145
public_282299	2382	9	111	4973509
public_28259	2403	10	169	5207437
public_282809	2398	10	44	5258939
public_282903	2326	10	74	5404110
public_282951	2400	10	51	5462312
public_282982	2189	10	47	4938916
public_28303	2367	10	220	5034264
public_283186	2410	10	469	5360802
public_283281	2210	10	284	5221267
public_283332	2401	10	130	5063712
public_283402	2394	9	295	5024383
public_283820	2333	10	56	4757234
public_283885	2396	10	469	5397195
public_283967	2393	10	104	5364905
public_284035	2334	10	23	5288563
public_284052	2392	10	958	5349693
public_284244	2327	10	178	5302484
public_28425	2383	10	54	5260052
public_284393	2229	10	354	5337511
public_284426	2211	10	189	4967237
public_284462	2208	10	309	4962819
public_284512	2347	10	74	5216976
public_284701	2402	9	139	5519105
public_284757	2361	10	119	4815859
public_284889	2206	10	37	4947481
public_284925	2399	10	41	5090064
public_285038	2309	10	204	5054824
public_28507	2373	9	222	5375686
public_285314	2059	9	63	5437518
public_28546	2326	3	513	5319012
public_285486	2224	10	196	5023886
public_285549	2231	8	141	5275845
public_285650	2376	10	141	5468935
public_286135	2390	10	52	4607632
public_286233	2389	10	139	5069315
public_286348	2385	9	121	5062763
public_286391	2205	10	80	5100158
public_286432	2393	10	167	5084528
public_286857	2397	9	300	5526549
public_286937	2363	10	27	4915110
public_287066	2222	10	139	5094267
public_287097	2360	10	39	5004425
public_287221	2214	9	152	4977211
public_287254	2213	10	210	5471131
public_287298	2335	10	66	5195692
public_287346	2196	10	62	5273162
public_28744	2407	10	150	5079806
public_287452	2198	10	205	4753243
public_287538	2338	10	140	5274839
public_287591	2368	10	85	4974306
public_287688	2335	10	76	5152441
public_287731	2313	9	155	5210696
public_288000	2375	10	76	4737487
public_28859	2301	10	3	5358200
public_288793	2411	10	122	4834156
public_288914	2197	8	223	5115575
public_289913	2208	10	196	5351255
public_289983	2211	10	1186	5551285
public_290013	2347	9	62	5337152
public_290093	2392	9	205	5570585
public_290271	2218	10	137	5010726
public_290307	2354	10	112	5437501
public_290314	2372	10	75	5488183
public_290356	2372	10	190	4918687
public_290420	2364	10	38	4943203
public_290678	2222	10	42	5282810
public_290718	2336	10	91	5093097
public_291232	2340	10	31	4846917
public_291295	2380	10	200	5057871
public_2914	2219	10	42	4939327
public_291449	2371	10	732	5183430
public_291796	2327	10	310	5076439
public_292029	2193	10	25	5070043
public_292150	2352	9	181	5399603
public_292255	2396	10	274	5248248
public_292541	2398	10	2	5620522
public_292599	2171	9	64	5398218
public_292868	2367	10	38	5182037
public_293552	2291	10	262	4767159
public_293679	2396	10	124	5338463
public_293926	2207	10	35	5227634
public_29395	2338	10	103	5285772
public_294060	2413	10	87	5005478
public_294189	2199	9	102	5421878
public_294320	2326	10	185	4911172
public_2944	2399	10	136	5118593
public_294530	2398	9	137	5317930
public_294604	2388	10	36	5180899
public_294816	2373	10	49	5160786
public_294934	2394	10	115	5364524
public_294980	2223	10	34	4869796
public_295028	2391	10	224	5154685
public_295213	2324	10	296	5147329
public_295252	2393	10	152	5306490
public_295330	2217	10	88	4875912
public_295383	2391	10	266	5353368
public_295505	2143	7	32	5139263
public_29597	2397	9	59	5287999
public_296145	2380	10	22	5450436
public_296754	2401	10	80	5298917
public_296815	2330	10	33	5156053
public_296865	2357	5	148	4938625
public_296910	2378	10	110	5012433
public_296913	2390	10	248	4440773
public_297376	2201	10	196	5318051
public_297527	2389	10	41	5267561
public_298042	2397	8	159	4992496
public_298279	2209	10	116	5113276
public_298284	2362	9	361	5111080
public_298767	2393	9	69	5153661
public_2988	2386	10	84	4964173
public_298910	2384	10	18	5131875
public_299079	2384	10	232	5041828
public_29910	2208	10	172	4814925
public_299180	2217	10	217	5154465
public_299317	2344	10	272	5317269
public_299381	2391	10	191	4697200
public_299390	2368	10	106	4871736
public_299549	2341	10	495	4857506
public_299567	2203	10	176	5489145
public_299600	2372	9	98	4986885
public_299803	2355	9	58	5188519
public_30020	2413	10	157	4900086
public_300503	2205	10	121	5032286
public_300616	2404	10	107	4870532
public_300763	2271	9	179	5293422
public_301068	2382	10	1	4558953
public_301198	2337	9	34	5249867
public_30122	2212	10	242	5345887
public_301281	2401	10	202	5002649
public_301333	2370	10	620	5568438
public_301598	2282	9	644	5029940
public_301648	2377	10	189	5241544
public_301813	2216	10	73	5483140
public_30182	2396	10	33	5051406
public_301848	2406	9	28	5685669
public_301891	2323	9	41	5295565
public_302177	2391	10	88	5116882
public_302341	2403	10	47	5159630
public_302360	2398	9	102	5253447
public_302549	2366	9	33	5113537
public_302600	2404	10	55	5276051
public_302693	2384	10	134	5165888
public_302768	2392	10	180	5351163
public_302952	2408	10	128	5245147
public_303124	2389	10	36	5204437
public_30314	2403	10	243	5308815
public_303515	2197	10	156	4968014
public_303569	2402	10	159	5066014
public_304004	2388	10	40	4963515
public_304099	2395	10	1	4773108
public_304147	2369	8	187	5055289
public_304310	2366	9	36	5286235
public_304747	2293	9	453	5383147
public_305307	2345	10	691	5227961
public_305365	2335	10	257	5404212
public_305466	2367	10	126	5324837
public_30567	2395	10	189	5048276
public_305675	2334	10	451	5291054
public_305704	2412	10	98	4717340
public_305803	2400	10	63	5108720
public_305847	2395	10	253	5067996
public_305899	2285	8	78	5488987
public_305934	2331	10	1	4746218
public_306159	2178	10	49	5279127
public_306227	2397	10	97	5054119
public_30637	2382	10	162	5395792
public_306391	2221	9	181	5089646
public_306458	2335	7	148	5198029
public_306592	2387	9	62	5534167
public_306769	2233	8	456	4982225
public_307158	2218	10	1288	5469374
public_307202	2185	9	567	5266057
public_307266	2404	10	26	5068091
public_307400	2401	9	35	5382781
public_307487	2321	10	47	5242442
public_307551	2386	10	134	5099022
public_30763	2405	10	48	5179216
public_307702	2390	10	259	5416193
public_308067	2189	10	149	5305741
public_308224	2407	10	2939	4418649
public_308411	2322	9	93	5407903
public_308530	2393	10	97	5296965
public_308721	2333	10	61	5188191
public_308728	2381	10	2	5179971
public_308863	2379	10	66	4978575
public_308896	2401	10	130	5239835
public_308923	2391	10	151	5343060
public_30932	2297	10	108	4839280
public_309352	2208	10	432	5287926
public_309384	2391	10	285	5051731
public_309764	2391	10	176	5359460
public_309799	2218	10	427	5379667
public_30980	2391	10	262	4901168
public_309832	2402	10	171	5294750
public_309835	2407	10	588	5406957
public_310011	2314	10	114	5248403
public_310306	2400	10	122	5099841
public_310523	2202	10	135	4955132
public_310533	2356	10	277	5194891
public_310776	2380	10	195	4637655
public_310896	2208	9	365	5312700
public_311798	2337	10	105	5100285
public_312155	2219	10	116	5068494
public_312194	2333	10	1	5108383
public_312414	2376	10	131	5340827
public_312588	2227	10	131	5256253
public_312640	2398	10	215	5095777
public_312927	2392	9	172	4968768
public_313054	2387	10	188	5365946
public_313596	2370	10	50	4829673
public_313773	2195	10	51	5483164
public_313821	2295	9	95	5354611
public_314388	2336	10	463	5352094
public_314437	2216	10	122	5164431
public_314468	2386	9	423	4797820
public_314665	2211	10	316	5264387
public_314715	2391	10	145	4878217
public_314915	2211	10	38	5243433
public_314947	2386	10	134	4814735
public_315216	2363	10	59	5519780
public_315361	2208	10	194	5248071
public_315395	2211	10	108	5177057
public_315434	2349	9	128	4910285
public_315437	2190	10	97	4976867
public_315522	2388	10	172	5044811
public_31562	2207	10	15	4592228
public_315979	2219	10	2560	4059555
public_316009	2189	9	33	5053522
public_316039	2326	9	162	5270343
public_316075	1301	6	189	5095547
public_31630	2392	10	369	5228339
public_3165	2203	10	186	4976634
public_31670	2383	10	262	5389663
public_318728	2385	10	274	5335863
public_319183	2352	5	48	5111341
public_319395	2402	10	63	4825448
public_319486	2399	10	2592	3907783
public_319546	1755	7	172	5345933
public_319893	2207	10	1	4938920
public_319934	2360	10	192	5340920
public_320063	2331	10	138	5096788
public_320161	2367	10	311	5283271
public_320384	2386	10	43	5358971
public_320982	2030	7	60	5293575
public_321129	2391	10	160	5358148
public_321202	2215	10	63	5466456
public_321240	2206	10	52	5399206
public_321513	2379	9	76	5368171
public_321697	2354	10	2714	5409971
public_321745	2361	10	433	4615501
public_321869	2207	10	442	4962035
public_321910	2173	9	35	5155539
public_32199	2401	10	260	5511816
public_322160	2202	8	345	4901224
public_322202	2388	10	26	5518340
public_322595	2391	6	161	5239024
public_322722	2379	9	37	5295835
public_3229	2330	10	139	5316658
public_322920	2309	9	47	5034544
public_322985	2323	9	475	5471196
public_323124	2390	10	119	5404432
public_323753	2387	10	224	5095957
public_32392	2377	10	29	5416945
public_324298	2347	8	206	5143678
public_324434	2391	10	47	5310744
public_32451	2392	10	698	5203437
public_324708	2381	10	103	4731158
public_324999	2353	9	145	5311542
public_325047	2397	10	564	5438488
public_325319	2403	10	40	5118987
public_325400	2216	10	41	5167543
public_325471	2133	9	144	5220161
public_325758	2396	10	120	5313770
public_325959	2232	10	757	5341287
public_326020	2378	4	135	5210063
public_326260	2352	10	48	5269132
public_326560	2333	10	185	5288634
public_326621	2373	10	100	5275855
public_326682	2213	10	187	5643383
public_326849	2370	10	22	4731104
public_326893	2384	10	541	5161414
public_327048	2199	10	139	5440904
public_327146	2403	10	115	5138808
public_327294	2317	8	1	4971461
public_327468	2228	10	144	5394461
public_327489	2357	10	110	5433381
public_327510	2387	9	27	5200653
public_327686	2391	10	191	5238287
public_32783	2383	10	94	4719088
public_327897	2405	10	19	5669753
public_327997	2212	9	113	4929195
public_328076	2360	9	149	5411912
public_32843	2309	10	219	5287204
public_328515	2362	10	79	5224171
public_328523	2374	10	197	5206380
public_328717	2339	9	47	5368543
public_328757	2394	10	72	5113135
public_329151	2372	10	132	5424254
public_32937	2207	10	29	5195834
public_329814	2255	8	28	4859607
public_330122	2200	10	86	5516021
public_330241	2391	10	147	4676797
public_330308	2395	10	22	5182047
public_330496	2388	10	43	5177514
public_330582	2390	10	44	5290809
public_330694	2357	9	52	4787382
public_33083	1909	8	218	5044371
public_330844	2363	10	196	5396154
public_331039	2397	9	122	5221118
public_331424	2338	10	64	5014444
public_331502	2328	10	320	5061687
public_331650	2369	10	57	5138978
public_331805	2392	10	66	5166387
public_331882	2109	6	6	4587712
public_3319	2392	10	524	5395629
public_332014	2263	10	52	5413892
public_332362	2397	10	50	5233919
public_332621	2391	9	57	5150412
public_332750	2351	9	23	4750886
public_333443	2391	10	70	5487708
public_333499	2395	10	1376	5050029
public_333523	2333	7	401	5517137
public_333579	2387	10	204	5260199
public_333707	2390	9	28	4897749
public_333835	2391	10	58	5317830
public_333841	2221	10	89	5044280
public_333887	2343	9	306	5176947
public_333906	2364	10	98	5524029
public_334124	2225	10	46	5203079
public_334169	2380	10	442	5343555
public_334336	2207	10	57	4913923
public_334437	2329	10	40	5116799
public_334470	2373	10	195	5299543
public_334666	2381	10	146	5174884
public_334738	2387	9	64	5272508
public_334843	2394	10	304	5466655
public_334902	2377	9	130	4833859
public_334993	2347	9	345	5214423
public_335707	2409	10	208	5066475
public_335883	2381	10	38	4896455
public_336113	2399	10	43	5218824
public_336122	2381	10	217	5061556
public_336306	2268	10	199	5435297
public_336481	2391	10	118	5096273
public_336486	2224	10	119	5183886
public_336600	2395	10	268	5194232
public_336799	2383	10	139	5282985
public_336820	2348	9	111	5298061
public_336924	2389	10	112	4831902
public_337310	2202	9	32	5065174
public_337418	2395	10	116	5028882
public_337933	2388	10	83	5734748
public_338143	2336	10	99	5154478
public_338193	2164	10	231	5655847
public_338196	2397	10	55	5307566
public_338407	2369	10	53	5182083
public_338511	1605	5	164	5305218
public_338733	2377	10	392	5384469
public_338822	2221	10	397	5207088
public_338857	2353	9	7	5155626
public_339573	2379	10	210	5332986
public_339773	2210	10	167	5325906
public_339811	2357	10	46	5224265
public_339958	2353	9	94	5051296
public_340011	2378	9	51	5296521
public_340051	2197	9	3	5028239
public_340166	2404	10	33	5022058
public_340541	2319	10	284	5134560
public_340999	2383	10	43	5252518
public_341446	2399	10	88	5345729
public_341526	2062	8	69	5280537
public_341678	2380	10	14	5341476
public_341758	2400	10	118	5080456
public_341896	2262	7	52	5281373
public_342585	2386	10	42	4730181
public_342745	2210	10	264	4965414
public_342785	2394	10	144	5099912
public_342907	2289	7	233	5440529
public_343342	2230	10	504	5457163
public_343424	2213	10	114	5249417
public_343474	2270	9	475	5414526
public_343679	2150	10	81	5229152
public_343811	2345	9	248	5362630
public_343856	2206	10	111	5163809
public_343926	2395	10	114	5173471
public_343931	2379	10	25	5167732
public_343975	2380	8	163	4955356
public_344165	2379	9	7	5412686
public_344275	2383	10	36	5230060
public_344400	2382	10	89	5075622
public_344579	2314	9	389	5256368
public_34461	2209	10	57	5214995
public_344708	2362	10	54	5541638
public_344809	2212	10	291	5481600
public_344852	2223	10	123	5446335
public_344888	2379	9	174	5060931
public_344987	2401	10	118	5246303
public_345032	2396	10	228	5493763
public_34507	2339	10	48	5219754
public_345238	2337	10	168	4938428
public_345305	2379	9	47	5178899
public_34539	2274	4	50	5426413
public_345497	2210	10	190	5276297
public_345531	2341	10	96	5223034
public_345564	2388	10	40	5196474
public_345983	2357	10	247	5408690
public_346387	2395	9	559	5253897
public_346663	2403	10	755	5275686
public_346717	2168	9	370	5091480
public_346897	2318	9	120	5209386
public_347589	2399	10	190	5099138
public_347595	2363	10	132	5219985
public_347712	2332	10	268	5099222
public_347769	2409	10	9	5604406
public_347787	2210	10	47	5127411
public_347835	2357	9	318	4924988
public_347892	2380	10	96	5634084
public_348450	2211	10	215	5043568
public_348488	2212	10	126	5266004
public_348524	2227	10	176	4769850
public_348559	2299	7	187	5239307
public_348682	2365	8	277	5321694
public_349117	2361	10	50	5317604
public_34918	2384	8	80	5388008
public_349221	2393	10	351	5359584
public_349307	2402	10	22	5929970
public_349452	2203	10	194	5000584
public_349613	2358	10	27	5314590
public_349836	2390	10	197	5270749
public_349934	2367	8	159	5498100
public_350144	2242	10	103	5268873
public_350147	2342	10	319	5527116
public_350374	2330	10	196	5331819
public_350514	2202	10	58	5140431
public_350549	2402	10	120	5209129
public_350682	2409	10	192	5560286
public_350718	2342	10	90	5345308
public_350784	2336	10	68	5030588
public_350872	2180	9	212	5204769
public_35088	2206	10	395	5294724
public_350913	2379	10	251	5254978
public_351005	2329	10	33	5012972
public_351474	2398	10	182	5188627
public_35151	2358	10	132	4934451
public_351832	2403	10	412	5323550
public_351979	2197	9	31	4816690
public_352112	2231	10	294	5106665
public_3524	2408	10	1	4935294
public_353015	2330	8	34	5206138
public_353512	2388	10	564	5236490
public_353515	2209	10	38	5457007
public_353569	2361	10	393	5146697
public_353986	2335	10	556	5264062
public_354113	2324	9	91	5052082
public_354304	2394	10	151	5151403
public_354440	2409	10	17	5390144
public_354561	2366	10	53	5076807
public_354785	2386	10	276	5148955
public_355173	2340	9	249	4907865
public_355400	2409	10	178	5258937
public_355535	2374	9	120	4982633
public_355651	2384	9	142	5222034
public_355725	2385	10	375	4985677
public_35607	2366	10	491	5318586
public_356077	2327	10	104	5099732
public_356298	2368	10	881	5298036
public_356491	2383	9	34	5049891
public_357057	2305	10	198	5163730
public_357155	2366	10	32	5071960
public_357196	2220	10	43	5126374
public_357244	2387	10	157	4723300
public_357295	2212	10	212	5087924
public_357493	2379	10	18	4838942
public_357937	2380	10	63	4745284
public_35814	2361	10	28	4681497
public_35843	2209	10	383	4999788
public_358434	2374	10	334	5141828
public_35878	2212	10	8	4917326
public_358927	2388	9	136	5308821
public_359105	2399	9	54	5391087
public_359110	2343	9	447	5371972
public_35915	2332	10	188	5355615
public_359272	2221	10	16	4660068
public_359307	2195	9	461	5170324
public_359427	2187	1	177	5229426
public_359827	2215	9	598	5371745
public_359909	2387	9	404	5364059
public_359958	2376	10	730	5540670
public_360073	2187	8	42	5435819
public_36031	2416	10	169	5163084
public_360351	2199	10	31	5504843
public_360481	33	0	178	5362172
public_360540	2331	10	68	5533688
public_360632	2386	10	40	4783899
public_361066	2402	9	80	5127174
public_361269	2337	10	433	5208246
public_361290	2339	9	229	5248906
public_36130	2356	9	167	5358117
public_361361	2382	10	92	5353500
public_361723	2330	10	107	5632708
public_362026	2370	10	179	5356930
public_362252	2403	10	52	5413189
public_362408	2376	10	62	5478162
public_362489	2409	10	240	5162892
public_362685	2358	10	64	4958978
public_362813	2391	10	424	5186948
public_36288	2393	10	120	5106636
public_362997	2366	10	301	5128451
public_363063	2395	10	14	4869974
public_3633	2397	9	5	5523477
public_363571	2388	10	19	4927595
public_363709	2216	10	194	5062487
public_363754	2228	10	604	5194267
public_363806	2403	10	76	5162282
public_364096	2399	10	43	5432043
public_364159	2391	10	108	4884312
public_364339	2395	10	298	4961819
public_364394	2382	10	559	5459491
public_364569	2321	10	17	4653786
public_364855	2393	10	242	5098282
public_364904	2330	9	132	5229253
public_364948	2211	10	306	5196886
public_364952	2400	10	65	5485621
public_365059	2326	9	33	5180441
public_365466	2325	9	55	5269776
public_365657	2331	10	41	5039947
public_365722	2390	10	26	5010331
public_365915	2302	9	41	4786814
public_366046	2299	9	177	5091775
public_366264	2203	10	133	5153602
public_366335	2337	10	24	4566735
public_366354	2382	10	192	5217547
public_366886	2203	10	32	4988156
public_366919	2189	10	59	5357747
public_367015	2381	10	44	5197505
public_367089	2382	10	116	4777481
public_367205	2391	10	32	5510053
public_367355	2211	10	155	5157527
public_367401	2363	10	65	5323700
public_367511	2201	10	155	4958859
public_367776	2390	10	3	5029323
public_367890	2301	10	445	5194147
public_368191	2211	10	1	5209548
public_368212	2389	10	87	5115347
public_368362	2340	10	211	5058401
public_368388	2389	9	187	4727165
public_36854	2408	10	238	5166633
public_368573	2407	10	472	5404722
public_368621	2396	10	289	5473677
public_368925	2211	10	217	5392651
public_369099	2367	10	270	5372969
public_369292	2395	10	36	5191030
public_36947	2392	10	682	5187850
public_369553	2333	9	269	4884171
public_369717	2378	10	200	5350454
public_369851	2192	10	221	5423045
public_369873	2314	10	49	5497467
public_370164	2167	9	151	5161255
public_370450	2392	10	46	5211834
public_370547	2357	9	125	5414139
public_371245	2368	10	72	5390055
public_371282	2210	10	33	5140884
public_371322	2376	10	2	5071018
public_371325	2387	10	43	5424634
public_37133	2199	10	168	4829725
public_371403	2359	10	181	5360304
public_371750	2402	10	108	5434637
public_371972	2394	10	131	5147897
public_37203	2212	10	60	5116733
public_372164	2211	10	115	4709037
public_372204	2387	10	1	4686137
public_372345	2183	10	445	5279028
public_372428	2366	10	574	4911376
public_37248	2394	10	8	5634850
public_372579	2403	10	161	5221519
public_372671	2350	9	84	5118737
public_372714	2331	10	185	5390537
public_372727	2206	10	156	5170822
public_372734	2207	10	20	4918269
public_373276	2411	10	68	5308142
public_373372	2395	10	397	4951735
public_373450	2397	10	179	5097926
public_37364	2416	10	70	5299129
public_373841	2334	8	38	5158110
public_373880	2392	10	89	5198379
public_37400	2382	9	1	4629812
public_374354	2322	9	32	4652566
public_374528	2382	10	550	5261919
public_374711	2406	10	3	5594477
public_374807	2212	10	120	5215288
public_374832	2378	10	72	4883581
public_375382	2382	10	243	5169282
public_375520	2210	10	251	5235555
public_375568	2333	7	83	5173444
public_3756	2391	10	143	5409495
public_37573	2382	10	68	5378775
public_375792	2341	9	56	5256328
public_376364	2401	10	32	5036718
public_376503	2377	10	33	5136093
public_376537	2397	10	128	5691368
public_376785	2214	10	580	5434754
public_376961	2389	10	54	5346724
public_377193	2390	10	192	5142948
public_377465	2340	10	76	5018127
public_377682	2189	10	354	5179604
public_377712	2345	10	66	5410763
public_377914	2220	9	147	5300581
public_377918	2205	10	188	5520056
public_377955	2208	10	1	5038386
public_377990	2399	10	997	5152556
public_378010	2208	10	244	5071898
public_378043	2208	10	30	5233365
public_378076	2398	10	81	5043541
public_378529	2391	10	73	5249419
public_378563	2395	10	97	5044340
public_378622	2375	10	49	5239901
public_378753	2410	10	355	4740105
public_378801	2389	10	154	5226094
public_378946	2391	10	47	4933346
public_379139	2307	10	134	5290814
public_379395	2367	10	31	5056314
public_379551	2192	10	423	5406798
public_379607	2392	10	96	5099397
public_380039	2369	10	46	5253263
public_380262	2405	10	34	5390404
public_38037	2367	10	188	5154233
public_380468	2382	10	99	5350288
public_380591	2397	10	224	5384987
public_380653	2370	10	623	5331665
public_380868	2212	10	43	5184502
public_380969	2219	10	203	5172280
public_380995	2366	10	280	5317281
public_381202	2389	10	98	5160700
public_381233	2360	9	172	5173174
public_381491	2225	10	166	5271896
public_381522	2385	10	133	5518276
public_381634	2385	10	346	5126813
public_38186	2201	10	139	5336948
public_382160	2396	10	63	5229971
public_382436	2363	10	182	5134752
public_382624	2380	10	55	5414383
public_38269	2380	9	39	4898555
public_382758	2403	9	48	5179811
public_382826	2323	10	181	5346737
public_382983	2405	10	40	4661306
public_383160	2215	10	980	5049816
public_383189	2381	10	43	5433730
public_383757	2382	9	31	5160598
public_383846	2413	10	79	5006892
public_383970	2198	9	235	5084185
public_384092	2342	10	175	5346503
